Film	Rotten Tomatoes	Audience  score	Number of Theatres Opening	Box Office per Cinema Opening	Domestic Gross	Foreign Gross	Worldwide Gross	Budget	Profitability	Opening Weekend	Year Release
The Desolation of Smaug	75	85	3903	18869	252.326338	595	847.326338	225	376.59	73.645197	2013
Man of Steel	55	76	4207	27720	291.045518	377	668.045518	225	296.91	116.619362	2013
Oz The Great & Powerful	59	57	3912	20223	234.911825	258.4	493.311825	215	229.45	79.110453	2013
The Lone Ranger	31	55	3904	7482	89.302115	171.2	260.502115	215	121.16	29.210849	2013
Monsters University	78	83	4004	20587	268.492764	475.066843	743.559607	200	371.78	82.429469	2013
Iron Man 3	78	80	4253	40946	409.013994	806.426	1215.439994	200	607.72	174.144585	2013
Jack the Giant Slayer	52	56	3525	7717	65.187603	132.5	197.687603	195	101.38	27.202226	2013
Star Trek Into Darkness	87	90	3868	18140	228.778661	238.586585	467.365246	190	245.98	70.165559	2013
Pacific Rim	71	78	3275	11385	101.802906	309.2	411.002906	190	216.32	37.285325	2013
World War Z	67	73	3607	18412	202.359711	337.648165	540.007876	190	284.21	66.411834	2013
47 Ronin	12	56	2689	3686	38.05584	83.7	121.75584	175	69.57	9.91031	2013
Thor: The Dark World	65	83	3841	22322	204.509243	428.4	632.909243	170	372.3	85.737841	2013
Fast & Furious 6	69	84	3658	26620	238.67985	550	788.67985	160	492.92	97.375245	2013
White House Down	50	63	3222	7713	73.103784	132.262953	205.366737	150	136.91	24.852258	2013
The Croods	70	79	4046	10786	187.168425	400.036243	587.204668	135	434.97	43.639736	2013
Turbo	67	67	3806	5600	83.028128	199.542554	282.570682	135	209.31	21.312625	2013
THG: Catching Fire	90	92	4163	37971	420.021917	435.873393	855.89531	130	658.38	158.074286	2013
G.I. Joe: Retaliation	28	49	3719	10891	122.52306	253.217645	375.740705	130	289.03	40.501814	2013
R.I.P.D.	13	39	2852	4450	33.618855	44.705365	78.32422	130	60.25	12.691415	2013
After Earth	11	38	3401	8092	60.522097	183.32103	243.843127	130	187.57	27.52004	2013
The Wolverine	69	70	3924	13536	132.556852	282.271394	414.828246	120	345.69	53.113752	2013
Oblivion	53	61	3783	9795	89.107235	197.061337	286.168572	120	238.47	37.054485	2013
Elysium	68	60	3284	9077	93.050117	193.090583	286.1407	115	248.82	29.807393	2013
Ender's Game	61	72	3407	7930	61.737191	50.494282	112.231473	110	102.03	27.017351	2013
The Great Gatsby	49	68	3535	14168	144.840419	206.2	351.040419	105	334.32	50.085185	2013
The Smurfs 2	14	58	3866	4539	71.017784	276.527576	347.54536	105	331	17.548389	2013
The Hangover Part III	19	45	3555	11722	112.200072	249.8	362.000072	103	351.46	41.671198	2013
Gravity	97	85	3575	15604	261.208962	427.3	688.508962	100	688.51	55.785112	2013
The Wolf of Wall Street	77	83	2537	7238	98.508822	77.1	175.608822	100	175.61	18.361578	2013
Epic	64	66	3882	8638	107.518682	160.907952	268.426634	100	268.43	33.531068	2013
A Good Day to Die Hard	14	42	3553	6990	67.349198	237.304984	304.654182	92	331.15	24.834845	2013
The Secret Life of Walter Mitty	48	76	2909	4388	56.34268	112.7	169.04268	90	187.83	12.765508	2013
Percy Jackson: Sea of Monsters	40	58	3031	4751	68.558662	131.290761	199.849423	90	222.05	14.401054	2013
Red 2	42	64	3016	5984	53.26256	88.816411	142.078971	84	169.14	18.048422	2013
Grown Ups 2	7	55	3491	11890	133.668525	113.315753	246.984278	80	308.73	41.508572	2013
Walking with Dinosaurs	25	41	3231	2195	34.691563	78.5	113.191563	80	141.49	7.091938	2013
Cloudy with a Chance of Meatballs 2	70	66	4001	8502	118.870505	138.9	257.770505	78	330.48	34.01793	2013
Despicable Me 2	74	85	3997	20895	368.061265	596.7	964.761265	76	1269.42	83.517315	2013
Now You See Me	50	71	2925	10034	117.723989	234	351.723989	75	468.97	29.350389	2013
Olympus Has Fallen	48	68	3098	9804	98.92564	62.1	161.02564	70	230.04	30.373794	2013
2 Guns	64	68	3025	8945	75.61246	56.327951	131.940411	61	216.3	27.05913	2013
The Mortal Instruments: City of Bones	12	61	3118	2995	31.165421	59.4	90.565421	60	150.94	9.336957	2013
Gangster Squad	32	59	3103	5501	46.000903	59.2	105.200903	60	175.33	17.070347	2013
Beautiful Creatures	37	34	2950	2570	19.452138	40.6	60.052138	60	100.09	7.582595	2013
The Internship	34	54	3366	5147	44.672764	48.82008	93.492844	58	161.19	17.325307	2013
Captain Phillips	93	92	3020	8516	106.244151	110.241686	216.485837	55	393.61	25.718314	2013
Free Birds	18	47	3736	4231	55.43549	35.4	90.83549	55	165.16	15.805237	2013
Anchorman 2	75	62	3507	7480	123.803339	41.7	165.503339	50	331.01	26.232425	2013
Escape Plan	49	59	2883	3429	25.132228	108.243107	133.375335	50	266.75	9.885732	2013
Hansel & Gretel	15	54	3372	5840	55.703475	170	225.703475	50	451.41	19.690956	2013
Planes	26	51	3702	6005	90.288712	129.5	219.788712	50	439.58	22.232291	2013
Prisoners	82	88	3260	6386	61.002302	61.124385	122.126687	46	265.49	20.817053	2013
The Heat	66	73	3181	12296	159.582188	70.348583	229.930771	43	534.72	39.115043	2013
The Host	8	50	3202	3310	26.627201	21.6	48.227201	40	120.57	10.600112	2013
Riddick	58	56	3107	6125	42.025135	56.31216	98.337295	38	258.78	19.030375	2013
We're the Millers	47	73	3260	8104	150.394119	119.6	269.994119	37	729.71	26.419396	2013
Saving Mr. Banks	81	89	15	27558	79.15831	12.1	91.25831	35	260.74	0.413373	2013
Warm Bodies	80	74	3009	6764	66.380662	50.6	116.980662	35	334.23	20.353967	2013
Identity Thief	19	55	3141	11000	134.50692	39.45809	173.96501	35	497.04	34.551025	2013
Parker	41	49	2224	3151	17.616641	28.6	46.216641	35	132.05	7.008222	2013
This is the End	83	73	3055	6782	101.470202	24.57112	126.041322	32	393.88	20.719162	2013
Lee Daniels' The Butler	73	80	2933	8400	116.597286	51.111019	167.708305	30	559.03	24.637312	2013
Side Effects	84	71	2605	3571	32.172757	31.2	63.372757	30	211.24	9.303145	2013
Carrie	49	48	3157	5100	35.266619	48.762638	84.029257	30	280.1	16.101552	2013
Runner Runner	9	34	3026	2547	19.316646	43.358449	62.675095	30	208.92	7.706712	2013
Last Vegas	47	62	3065	5329	63.749942	53.991905	117.741847	28	420.51	16.334566	2013
Kick-Ass 2	29	62	2940	4535	28.795985	30.760119	59.556104	28	212.7	13.332955	2013
Delivery Man	38	52	3036	2617	30.131216	1.2	31.331216	26	120.5	7.944977	2013
Pain and Gain	49	48	3277	6178	49.875291	36.3	86.175291	26	331.44	20.244505	2013
Homefront	40	66	2570	2691	20.158898	11.2	31.358898	22	142.54	6.915241	2013
The Conjuring	86	83	2903	14418	137.400141	180.6	318.000141	20	1590	41.855326	2013
The World's End	89	73	1551	5681	26.004851	20.084436	46.089287	20	230.45	8.81179	2013
Scary Movie 5	4	41	3402	4161	32.015787	46.362957	78.378744	20	391.89	14.157367	2013
The Best Man Holiday	67	90	2024	14875	70.525195	1.1	71.625195	17	421.32	30.107555	2013
Evil Dead	62	64	3025	8521	54.239856	43.303096	97.542952	17	573.78	25.775847	2013
Jackass Presents: Bad Grandpa	61	66	3336	9609	102.003019	47	149.003019	15	993.35	32.055177	2013
Mama	66	57	2647	10730	71.62818	74.8	146.42818	15	976.19	28.40231	2013
The Call	43	66	2507	6828	51.872378	16.7	68.572378	13	527.48	17.118745	2013
21 and Over	28	49	2771	3159	25.68238	19.9	45.58238	13	350.63	8.754168	2013
Baggage Claim	14	56	2027	4455	21.569509	0.887	22.456509	8.5	264.19	9.031102	2013
Don Jon	81	64	2422	3583	24.477704	5.973052	30.450756	6	507.51	8.677009	2013
Insidious Chapter 2	37	60	3049	13208	83.586447	77.916585	161.503032	5	3230.06	40.272103	2013
The Way Way Back	85	85	19	29094	21.506546	1.692106	23.198652	4.6	504.32	0.552788	2013
The Purge	37	37	2536	13430	64.473115	24.855512	89.328627	3	2977.62	34.05836	2013
A Haunted House	10	54	2160	8380	40.041683	19.9	59.941683	2.5	2397.67	18.101682	2013
12 years a slave	96	92	1144	5835	49.280178	78.9	128.180178	20	640.9	6.675731	2013
Her	94	85	1729	3114	24.124034	6.241342	30.365376	23	132.02	5.383775	2013
Dallas Buyers Club	94	92	666	4035	24.845161	6	30.845161	5	616.9	2.687157	2013
21 Jump Street	85	82	3121	11632	138.447667	63.137661	201.585328	42	479.97	36.302612	2012
Abraham Lincoln: Vampire Hunter	35	51	3108	5247	37.519139	78.952441	116.47158	69	168.8	16.306974	2012
American Reunion	44	63	3192	6740	57.011521	177.978063	234.989584	50	469.98	21.51408	2012
Anna Karenina	63	51	16	20043	12.816367	56.112783	68.92915	31	222.35	0.32069	2012
Arbitrage	87	63	197	10163	7.919574	27.565482	35.485056	12	295.71	2.002165	2012
Argo	96	90	3232	6020	136.025503	96.3	232.325503	45	522.08	19.458109	2012
Battleship	34	55	3690	6920	65.422625	237.60286	303.025485	209	144.99	25.534825	2012
Big Miracle	74	64	2129	3645	20.1573	4.561915	24.719215	40	61.8	7.760205	2012
Brave	78	76	4164	15928	237.283207	301.7	538.983207	185	291.34	66.323594	2012
Chernobyl Diaries	19	29	2433	3270	18.11964	19.038008	37.157648	1	3715.76	7.955307	2012
Chronicle (2012)	85	71	2907	7569	64.575175	62.060922	126.636097	12	1055.3	22.004098	2012
Cloud Atlas	66	67	2008	4787	27.108272	103.374596	130.482868	102	127.92	9.612247	2012
